sim	vc	vc_star	Mb	MHI	M_V	BminV	VminI	Re	mu0	FeH
C1P1bisM1R00L	0.0	15.2703377036	2906927.59044	819.530233157	-11.4985606302	0.5615001516	0.9586007519	4.57589878815	26.7159599434	-3.21820133789
C1P1bisM1R05L	0.0	15.6478799482	2648050.83854	896.586870303	-11.8529206575	0.5743095883	0.968271725	3.14416951653	26.8665839868	-2.73401030113
C1P1bisM1R10L	0.0	14.6700270908	1482982.0561	1206.40748113	-10.8121787671	0.5771954475	0.9674773029	1.53780776221	27.2020569041	-2.60866379472
C1P1bisM3R00L	0.0	22.9623182968	31148268.7984	4518.85625654	-13.9705931225	0.571750543	0.9637472174	2.70461328297	25.0229313006	-2.49408906441
C1P1bisM3R05L	0.0	22.8897947949	20364424.9525	4604.13559095	-13.3281776728	0.5826465394	0.971862563	1.3243867009	24.8079371196	-2.40758451051
C1P1bisM3R10L	5.22489546168	22.6448511583	20793427.6748	5296990.18249	-13.5884794654	0.6289723117	0.9749540945	2.12613120223	25.3702353605	-2.06055542363
C1P1bisM5R00L	10.3579485103	32.5902791089	114468908.747	2561448.79862	-14.9136392126	0.6328792036	1.00820961	1.14327179554	22.7598639342	-1.9301341036
C1P1bisM5R05L	22.1690872076	31.393153879	145096666.072	13087124.3128	-14.791359354	0.6363672879	1.0142584551	1.31126368952	23.2537100096	-1.88890911523
C1P1bisM5R10L	17.6844240185	29.6486150539	196087079.955	76131528.5285	-15.0517712606	0.6630647348	1.0392610267	1.93930047606	23.9123063424	-1.64797436034
C1P1bisM7R00L	0.0	85.5756554053	817095916.107	6056193.23453	-16.8522923632	0.7704597283	1.1570985232	0.520088220991	19.1711336273	-0.826607951108
C1P1bisM7R05L	18.299456549	37.8651780688	634744161.503	40694077.3818	-15.9519472241	0.7176959538	1.0791896405	1.91266609794	22.8338363007	-1.52196381502
C1P1bisM7R10L	17.9150515753	38.62033174	653094174.353	138868956.769	-15.9097642176	0.712442523	1.1128314271	1.43493154854	22.5681086031	-1.32924009934
C1P1bisM9R00L	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C1P1bisM9R05L	22.07426334	49.9567758369	600489545.768	30446184.1489	-16.3295291375	0.7107826362	1.0901576068	1.06113495563	21.5198965751	-1.24271091391
C1P1bisM9R10L	20.0773837246	47.546052856	677630245.591	120930469.528	-16.4852007885	0.7394511757	1.1334036887	1.20715215751	21.6998352798	-1.07893879055
C4P2M1R00L	5.68888165523	16.5620073944	7587584.89086	3522306.99813	-11.3419331363	0.599983619	0.9883339228	0.951607862603	26.3133884852	-2.10297385053
C4P2M1R05L	7.75853570376	15.7560208012	12472364.6619	7480875.42134	-11.6682601285	0.6007841372	0.9852085221	1.41601831024	26.4301115459	-2.19327126671
C4P2M1R10L	10.829992994	17.556858062	35217222.457	29867177.5699	-12.8866099998	0.528613756	0.9581975137	3.91266829094	26.7338578344	-1.71263335995
C4P2M3R00L	0.0	23.3966961029	13883769.2607	3901.72084433	-13.7064221554	0.5673975148	0.9633105307	2.71768628973	25.2761656083	-2.67965588204
C4P2M3R05L	15.1057720067	23.1535596939	25025090.123	3531648.04337	-13.6714710904	0.5907194048	0.9742073391	2.21224790078	25.265074857	-2.31967406689
C4P2M3R10L	8.62224492337	23.1287047639	19201971.2746	8111846.34202	-12.6363786258	0.631859209	1.0003145474	1.1550094661	25.5867525437	-2.07306243423
C4P2M5R00L	26.4344127566	31.1765484859	68836854.8948	94158.9413425	-14.4920233087	0.6102043696	0.9932553238	1.03682732053	23.0667938758	-2.18823946633
C4P2M5R05L	12.1886225675	26.9864766356	107569571.087	8011904.878	-14.1597025363	0.6015863463	0.9831717881	1.42302616809	24.2521450265	-2.15582807263
C4P2M5R10L	13.2921731867	27.6726275281	38276170.8893	14359835.0455	-14.7887353821	0.6407441688	0.996094208	3.51942444257	25.1604179943	-1.9355123989
C4P2M7R00L	28.1843245148	34.848020013	159525062.293	9578032.73525	-15.0704903848	0.6241692162	1.0020399515	1.30001638825	23.0403153432	-1.97934967044
C4P2M7R05L	17.9021452453	33.3110431918	250002296.167	20716297.7699	-15.5993192133	0.7013350239	1.0317481687	2.70007289113	23.6806708794	-1.94826555917
C4P2M7R10L	12.6108916806	30.8031309035	89797977.9202	36403138.2668	-15.6774160428	0.7131446096	1.0156713198	4.07761093989	24.5792453475	-1.87213625988
C4P2M9R00L	29.4159612964	50.0597730068	436906275.51	8375314.94077	-16.181556354	0.6860324322	1.0682011966	0.779257453242	21.0806805514	-1.44277927912
C4P2M9R05L	42.4126942462	41.2356442951	350980273.287	22796074.3173	-16.1348511359	0.7084045161	1.0550036247	1.94289959588	22.6883238995	-1.60229163844
C4P2M9R10L	26.0266618468	36.8993344631	758829955.638	68956619.1347	-16.8323106153	0.8777106328	1.15825657	4.63075756659	23.4845607244	-1.60509132298
C3P2M1R00L	0.0	14.9952651955	1650521.85804	60.0494327205	-10.7838700882	0.5620486404	0.9596216854	2.29504211264	27.063361375	-2.98647665322
C3P2M1R00H	0.0	15.1421443547	618302.197674	80.6319213161	-10.2185775284	0.56646292117	0.962595986	0.710333966201	26.481776282	-2.77137686166
C3P2M1R05L	0.0	16.1179644887	1745890.54971	98.0388802728	-10.7926917812	0.5638527319	0.9606008232	1.68476916122	27.7830511415	-2.76929498804
C3P2M1R05H	0.0	15.1421443547	618302.197674	80.6319213161	-10.2185775284	0.56646292117	0.962595986	0.710333966201	26.481776282	-2.77137686166
C3P2M1R10L	0.0	16.3050574775	1278157.35249	118.224344436	-10.9790303567	0.6167159907	0.9901157401	4.46706682036	28.1363475434	-2.50875491582
C3P2M1R10H	0.0	14.9937127841	680820.521956	106.519997448	-10.1467468571	0.56974969437	0.9635953556	1.24226257431	27.5382523021	-2.40724829209
C3P2M3R00L	0.0	22.1423598435	12663614.4861	220.999649999	-13.7596302529	0.5543792972	0.9544165793	4.56294588815	25.8157998806	-3.12377817366
C3P2M3R00H	0.0	21.7333161956	8154694.6918	206.765291142	-12.0791320086	0.5680868195	0.963047208	0.88730919855	23.9722658114	-2.92683592272
C3P2M3R05L	0.0	22.7348738242	7899071.88959	329.915596382	-12.6165946464	0.581937099	0.9702543268	1.39875780634	25.6517779015	-2.76764823173
C3P2M3R05H	0.0	21.420292547	5383820.03132	263.252528022	-12.4985843613	0.5761668396	0.9676287596	1.0306267147	25.1324330692	-2.70445737624
C3P2M3R10L	0.0	21.1839998022	6243415.53068	446.830505471	-12.8665152	0.571013214	0.9644606254	3.40861670126	26.8912554286	-2.88190635087
C3P2M3R10H	0.0	20.6134413718	10694932.5672	408.473831972	-12.1964942084	0.5867260165	0.9740531045	0.949466198162	25.5000636296	-2.45501915267
C3P2M5R00L	0.0	27.0136484445	32891165.2842	334.221442641	-13.6683041223	0.5802604798	0.9709141512	1.23419237231	24.3197675868	-2.64941003337
C3P2M5R00H	0.0	25.5090545641	19114602.8893	338.814553423	-13.6053759507	0.5743721395	0.9671238319	0.809150100558	23.4118572746	-2.752303243
C3P2M5R05L	0.0	26.5775963458	15897943.9913	749.708437793	-14.6166133121	0.586007957	0.9722308302	4.17184329639	25.2000911322	-2.60354590142
C3P2M5R05H	0.0	25.8229640414	28859114.467	536.765161452	-13.6107285645	0.5857631151	0.974285599	0.843441762407	23.6411757983	-2.5230009989
C3P2M5R10L	0.0	24.4863551383	39968272.1166	696.191792061	-13.8160157011	0.5356371793	0.9408540624	3.17948262124	25.9624674185	-2.62459476333
C3P2M5R10H	40.6275051448	25.3846240822	22709766.8325	1021.79701656	-14.0536622943	0.5745745033	0.961915731	2.84920675134	25.4557275658	-2.2337345721
C3P2M7R00L	0.0	34.4525481605	104965274.32	440.204037934	-14.7405151646	0.6063409849	0.9872922013	0.981202507781	22.7624295462	-2.23336776866
C3P2M7R00H	0.0	31.0436582579	46759102.9378	457.636104899	-14.3804990664	0.5939176706	0.9806042439	0.717292468194	22.3623346539	-2.41904513166
C3P2M7R05L	29.8511822903	32.3718031041	110040447.854	3709523.44345	-14.8799011235	0.6099916161	0.9806067333	1.889848664	23.8689507658	-2.17285919252
C3P2M7R05H	0.0	28.7734541049	58447943.6493	956.628924533	-14.1711512703	0.5927554482	0.9798763812	0.85677648065	23.2190761101	-2.41883561022
C3P2M7R10L	12.8135152096	30.8916614943	79743318.6967	7160310.65832	-15.0139647258	0.7466588692	1.0520872046	3.13568602879	24.6935875724	-2.09787256029
C3P2M7R10H	18.5393675769	31.6811739912	101055071.413	20162141.6494	-14.2793548403	0.5930102531	1.0104758558	0.871208011145	23.3186549095	-2.04457909469
C3P2M9R00L	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C3P2M9R00H	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C3P2M9R05L	26.5755573978	37.7092018831	204216765.54	15372906.2639	-15.3529680285	0.6462737444	1.0123662698	1.4811838582	23.0332378818	-1.92633580571
C3P2M9R05H	28.1240500907	34.7643180489	160428727.421	21256539.8388	-15.1463448155	0.6100757702	0.9992955515	1.13292778602	22.6693103188	-2.02134593782
C3P2M9R10L	19.9825749962	38.4609258324	212646615.325	56762154.4027	-16.2582829176	0.7027329289	1.0275617542	4.09405755324	23.9500798525	-1.73030056922
C3P2M9R10H	25.428814213	35.4682009108	269070386.533	57147204.6524	-16.0714115963	0.6578385988	1.013766378	3.72209335405	23.7824338297	-1.88148111629
C7P6M1R00L	0.0	14.2968237449	7570.76642327	49.3792336361	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M1R05L	0.0	8.87889058598	7532.31025503	11.9915252323	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M1R10L	0.0	13.8297914662	101613.517218	67.885099678	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M3R00L	0.0	11.4743152427	22802.4207057	232.553854653	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M3R05L	0.0	14.9040721242	124204.150305	193.710342692	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M3R10L	0.0	18.0035159941	101757.840259	196.983112067	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M5R00L	0.0	36.5689556519	1227244.31232	1152005.77341	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M5R05L	0.0	17.2300146154	169406.849477	132.25670504	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M5R10L	0.0	12.7180536512	75299.3369497	62.1223843638	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M7R00L	0.0	27.6621362041	210705.155307	61.584437443	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M7R05L	0.0	21.6559485525	2953227.39786	2847905.7931	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M7R10L	0.0	27.2381828531	210947.251581	333.153345375	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M9R00L	0.0	37.6174216548	237295.323611	317.478180908	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M9R05L	0.0	29.131153848	1371536.39506	1134535.81046	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P6M9R10L	0.0	35.7015631672	271038.32601	185.678288318	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0
C7P7M1R00L	0.0	16.813186884	341091.289831	86.2265169143	-9.28278678896	0.57435403651	0.96645045494	0.829222762719	27.7536101881	-2.41114799383
C7P7M1R05L	0.0	17.662192862	612990.718211	101.224537282	-9.59344121105	0.5803556117	0.69466510475	1.10784520602	28.0719951033	-2.15138779646
C7P7M1R10L	0.0	18.481510725	363495.42755	118.775659997	-9.25970273943	0.57816110923	0.96632761607	1.38052107519	28.094316149	-2.15255899654
C7P7M3R00L	0.0	26.9056529057	14419541.8633	257.180381392	-13.237587319	0.5804311671	0.9709082466	1.78331666457	24.3523427633	-2.49336415921
C7P7M3R05L	0.0	22.4571787526	21819395.4768	528.490075708	-13.9901740909	0.602292835	0.9825730779	8.7884670914	26.2612072605	-2.44048844737
C7P7M3R10L	0.0	21.6492502245	8868346.9865	729.997660774	-12.5549457266	0.6248800928	0.9995929956	1.9227298616	26.2008923962	-2.09593845948
C7P7M5R00L	0.0	31.1853863129	60350137.6736	700.21441798	-14.4475560535	0.6039699854	0.9858006935	1.30968401667	23.3115310709	-2.13663770156
C7P7M5R05L	14.6322633863	31.3452921761	71480704.767	4483389.09099	-14.2520645207	0.6133963513	0.9944485969	1.12249146267	23.4592613443	-2.0302048672
C7P7M5R10L	7.29473059666	26.3968839054	37751539.1261	1934184.75788	-13.7826975627	0.698638356	1.0458890955	1.99631521602	25.1893418016	-2.0253910561
C7P7M7R00L	0.0	70.0631660492	550873124.029	3236860.81402	-17.2038014402	0.7592971012	1.1573897103	0.415124996065	18.9710642879	-0.977070017148
C7P7M7R05L	16.2879676962	38.771454966	289096443.062	19858785.721	-15.6140683602	0.6890386739	1.054145046	1.31288820536	22.5241202188	-1.53344176396
C7P7M7R10L	18.1305320407	36.0805677048	280280662.72	39267745.1893	-15.2004809238	0.6874097354	1.0723977337	1.36764336478	23.0931482517	-1.52328792287
C7P7M9R00L	0.0	112.74333948	953186450.928	5.74396197158	-17.0531513672	0.7975249416	1.1773664643	0.540446386148	19.0536526193	-0.828780314957
C7P7M9R05L	31.8163582979	52.2291817701	336622423.289	11376074.7237	-16.1911356379	0.6964760518	1.0891220472	0.740915850224	21.0128752038	-1.26753073934
C7P7M9R10L	28.0839770623	43.5374686946	573711366.042	133841284.459	-16.2386408498	0.7333947989	1.1214299132	1.5052467815	22.3076170835	-1.239621424
C7P4M1R00L	0.0	15.9285182378	1427070.38649	113.760720864	-10.8359383896	0.58134853	0.9703532246	1.44582075523	27.0667602468	-2.33288938583
C7P4M1R05L	0.0	16.676556271	1416451.74345	93.757464819	-10.6135271199	0.5752768292	0.9676256914	1.06364845135	26.5753634994	-2.44342899079
C7P4M1R10L	0.0	16.0469921591	1071164.67743	132.424257334	-10.4154815692	0.57839188712	0.9631059766	2.76389845133	27.8150260847	-2.13762504422
C7P4M3R00L	0.0	27.2883646382	22964687.6329	207.75210891	-13.5982092769	0.5866766896	0.9745557635	1.42407445918	23.9964799292	-2.35430608121
C7P4M3R05L	0.0	26.4357806268	19613711.614	247.287870026	-13.3837877522	0.596265828	0.9802975158	0.873616115975	23.9030260235	-2.30723067152
C7P4M3R10L	0.0	21.7870389069	77916056.0665	503.700997512	-13.2635786538	0.5913332662	0.9767808378	2.19569315876	25.765935083	-2.26306980153
C7P4M5R00L	39.4808074143	37.9529438335	114892799.458	1975883.764	-15.1226785669	0.6588873243	1.031513331	0.814339901659	21.9761173074	-1.68650065181
C7P4M5R05L	16.3086263081	32.6259813051	86380045.0234	2243537.16571	-14.7095215499	0.631691662	1.0090258124	1.05221588957	23.0186386815	-1.87011554363
C7P4M5R10L	14.0535039939	29.8838383819	78793575.3254	4539196.26205	-14.5051096787	0.6589129162	1.0172688186	1.66680040719	24.060372184	-1.92523219654
C7P4M7R00L	0.0	76.4731761435	660922861.793	3322864.08152	-16.6713844456	0.758461314	1.1440059927	0.568099682104	19.5437791864	-0.91308402362
